Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

YO5        SMD_OSCCF250X320X90-4N   1649.606mil    645.669mil   1649.606mil    645.669mil   1698.819mil    685.039mil  T        270.00                
Y1         SMD_HC49_XTAL1140X480X420N    3539.37mil   1334.646mil    3539.37mil   1334.646mil   3722.441mil   1334.646mil  T        180.00 4.00MHz HC49/4HSMX
U9         SMD_SOIC127P620X160-8N   2700.787mil   1125.992mil   2700.787mil   1125.984mil   2590.551mil   1200.984mil  T          0.00 BD18KA5WF-E2   
U7         SMD_TO254P1542X460-3_4N   3498.578mil   2111.537mil   3546.806mil   2111.537mil   3294.838mil   2211.537mil  T          0.00 L7805CD2T-TR   
U6         SMD_SOIC127P620X160-8N   2952.748mil   1645.669mil   2952.756mil   1645.669mil   2877.756mil   1535.433mil  T         90.00 BD33KA5WF-E2   
U29        SMD_SOIC127P620X160-8N   2700.787mil    874.024mil   2700.787mil    874.016mil   2590.551mil    949.016mil  T          0.00 BD00KA5WF-E2   
U24        SMD_QFN50P600X600X80-43   1362.656mil   3273.216mil   1362.656mil   3273.216mil   1478.798mil   3184.633mil  T        180.00 DB_VALUE       
U20        SMD_QFN50P600X600X80-43    630.372mil   3273.216mil    630.372mil   3273.216mil    746.514mil   3184.633mil  T        180.00 DB_VALUE       
U17        SMD_QFN50P600X600X80-43   2827.223mil   3273.216mil   2827.223mil   3273.216mil   2943.365mil   3184.633mil  T        180.00 DB_VALUE       
U13        SMD_QFN50P600X600X80-43   2094.939mil   3273.216mil   2094.939mil   3273.216mil   2211.081mil   3184.633mil  T        180.00 DB_VALUE       
U10        SMD_QFP50P1200X1200X120-64N   3305.413mil    670.592mil   3305.413mil    670.592mil   3157.776mil    444.214mil  T         90.00 dsPIC33EP256MU806
U1         SMD_BGA480C80P22X22   1181.102mil   1181.102mil   1181.102mil   1181.102mil   1588.583mil    773.622mil  T        270.00 IC_RockerBox   
R9         SMD_0603_RESC1608X55N   3137.795mil   1059.055mil   3137.795mil   1059.055mil   3137.795mil   1027.559mil  T         90.00 10k            
R8         SMD_0603_RESC1608X55N   2940.945mil    248.031mil   2940.945mil    248.031mil   2940.945mil    279.528mil  T        270.00 1k             
R7         SMD_0603_RESC1608X55N   3003.937mil    248.031mil   3003.937mil    248.031mil   3003.937mil    279.528mil  T        270.00 1k             
R6         SMD_0603_RESC1608X55N   2374.016mil    523.622mil   2374.016mil    523.622mil   2405.512mil    523.622mil  T        180.00 10k            
R3         SMD_0603_RESC1608X55N     791.79mil   3064.554mil     791.79mil   3064.554mil     791.79mil   3033.058mil  T         90.00 100R           
R29        SMD_0603_RESC1608X55N   2720.472mil    625.984mil   2720.472mil    625.984mil   2720.472mil     657.48mil  T        270.00 1k             
R28        SMD_0603_RESC1608X55N   2515.748mil     803.15mil   2515.748mil     803.15mil   2515.748mil    834.646mil  T        270.00 10k            
R27        SMD_0603_RESC1608X55N   2515.748mil    925.197mil   2515.748mil    925.197mil   2515.748mil    956.693mil  T        270.00 2k             
R24        SMD_0603_RESC1608X55N    2988.64mil   3064.554mil    2988.64mil   3064.554mil    2988.64mil   3033.058mil  T         90.00 100R           
R23        SMD_0603_RESC1608X55N   2925.648mil   3064.554mil   2925.648mil   3064.554mil   2925.648mil    3096.05mil  T        270.00 10k            
R22        SMD_0603_RESC1608X55N   2940.945mil    370.079mil   2940.945mil    370.079mil   2940.945mil    338.583mil  T         90.00 1k             
R21        SMD_0603_RESC1608X55N   2783.465mil    625.984mil   2783.465mil    625.984mil   2783.465mil     657.48mil  T        270.00 1k             
R20        SMD_0603_RESC1608X55N   3003.937mil    370.079mil   3003.937mil    370.079mil   3003.937mil    338.583mil  T         90.00 1k             
R2         SMD_0603_RESC1608X55N    728.798mil   3064.554mil    728.798mil   3064.554mil    728.798mil    3096.05mil  T        270.00 10k            
R19        SMD_0603_RESC1608X55N   1524.073mil   3064.554mil   1524.073mil   3064.554mil   1524.073mil   3033.058mil  T         90.00 100R           
R18        SMD_0603_RESC1608X55N   2807.087mil    133.858mil   2807.087mil    133.858mil    2775.59mil    133.858mil  T          0.00 1k             
R17        SMD_0603_RESC1608X55N   1461.081mil   3064.554mil   1461.081mil   3064.554mil   1461.081mil    3096.05mil  T        270.00 10k            
R16        SMD_0603_RESC1608X55N   2256.357mil   3064.554mil   2256.357mil   3064.554mil   2256.357mil   3033.058mil  T         90.00 100R           
R15        SMD_0603_RESC1608X55N   2193.365mil   3064.554mil   2193.365mil   3064.554mil   2193.365mil    3096.05mil  T        270.00 10k            
