Field=Quantity~Integer~Quantity~21|Field=Designator~String~Designator~82|Field=DB_DESCRIPTION~String~DB_DESCRIPTION~183|Field=DB_PACKAGE~String~DB_PACKAGE~103|Field=DB_T_RANGE~String~DB_T_RANGE~108|Field=DB_PART_NUMBER~String~DB_PART_NUMBER~107|Field=DB_MANUFACTURER_PART~String~DB_MANUFACTURER_PART~186|Field=DB_DATASHEET~String~DB_DATASHEET~210|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~RockerBox.PrjPCB|ReportField=ProjectFullPath~D:\AProj\RockerBox_1_SiC780A_Rev02 PickPlace\RockerBox.PrjPCB|ReportField=Title~Bill of Materials For Variant [Production 220uF] of Project [RockerBox.PrjPCB] (No PCB Document Selected)|ReportField=TotalQuantity~182|ReportField=ReportTime~16:33:13|ReportField=ReportDate~03.12.2014|ReportField=ReportDateTime~03.12.2014 16:33:13|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~Production 220uF|ReportField=Address1~Drawing Type|ReportField=Address2~Address 1|ReportField=Address3~Address 2|ReportField=Address4~Address 3|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~Integrated Micro-Electronics Bulgaria|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~03.12.2014|ReportField=CurrentTime~16:28:28|ReportField=Date~Date|ReportField=DocumentFullPathAndName~D:\AProj\RockerBox_1_SiC780A_Rev02 PickPlace\Block.SchDoc|ReportField=DocumentName~Block.SchDoc|ReportField=DocumentNumber~730xxx|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~06.11.2014|ReportField=Organization~Design & Development Department|ReportField=PageSetup~Record=PageOptions|CenterHorizontal=True|CenterVertical=True|PrintScale=0.70|XCorrection=1.00|YCorrection=1.00|PrintKind=2|BorderSize=5000000|LeftOffset=0|BottomOffset=0|Orientation=2|PaperLength=1000|PaperWidth=1000|Scale=100|PaperSource=7|PrintQuality=-4|MediaType=1|DitherType=10|PaperKind=A4|PrintScaleMode=1|ReportField=ProjectName~RockerBox.PrjPCB|ReportField=Revision~01|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetSize~A3|ReportField=SheetTotal~1|ReportField=Time~Time|ReportField=Title~Title|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~RockerBox.PrjPCB|ReportField=DataSourceFullPath~D:\AProj\RockerBox_1_SiC780A_Rev02 PickPlace\RockerBox.PrjPCB
63|C13, C132, C140, C143, C146, C167, C174, C189, C192, C195, C207, C208, C209, C210, C211, C212, C213, C214, C215, C216, C237, C238, C239, C240, C241, C242, C243, C244, C245, C246, C247, C248, C249, C250, C251, C252, C253, C254, C255, C256, C260, C261, C262, C267, C270, C273, C276, C375, C376, C377, C381, C382, C397, C398, C399, C400, C401, C653, C656, C659, C662, C665, C668|C X5R 220uF 20% 6.3V 1210|1210|-55 to 85|CAP000047355|SAMSUNG    CL32A227MQVNNNE|http://john.epiqdesign.com/projects/CIS_Datasheets/CAP_CL32A227MQVNNNE.pdf?rev=1401&sc=0
24|C41, C42, C43, C47, C92, C96, C99, C101, C102, C107, C133, C134, C258, C259, C373, C374, C404, C405, C406, C407, C596, C599, C602, C605|C X5R 100uF 20% 16V 1210|1210|-55 to 85|TMP-2512|YAGEO    CC1210MRX5R7BB107|http://john.epiqdesign.com/projects/CIS_Datasheets/CAP_CC1210MKX5R7BB107_100uF_16V_X5R_1210.pdf?rev=1545&sc=0
8|C4, C5, C6, C7, C8, C9, C17, C232|C X7R 100nF 20% 16V 0402|0402|-55 to 125|CAP000022751|KEMET    C0402F104M4RAC|http://john.epiqdesign.com/projects/CIS_Datasheets/F3102_CE_Kemet.pdf?rev=92&sc=0
7|C2, C12, C15, C22, C54, C85, C117|C X5R 10uF 20% 6.3V 0603|0603|-55 to 85|CAP000043646|KEMET    C0603C106M9PAC|http://john.epiqdesign.com/projects/CIS_Datasheets/F3102_CE_Kemet.pdf?rev=92&sc=0
7|J9, J13, J14, J15, J22, J23, J24|Mounting Hole PTH_MTG400_700|||MTH000000030||
7|R1, R2, R6, R9, R15, R17, R23|R SMD 10k 1% 1/10W 0603|0603|-55 to 155|RES000008663|YAGEO    RC0603FR-0710KL|http://john.epiqdesign.com/projects/CIS_Datasheets/PYu-RC0603_51_RoHS_L_4_YAGEO.pdf?rev=138&sc=0
7|R7, R8, R18, R20, R21, R22, R29|R SMD 1k 5% 1/10W 0603|0603|-55 to 155|RES000008858|YAGEO    AC0603JR-071KL|http://john.epiqdesign.com/projects/CIS_Datasheets/RES_AC_YAGEO.pdf?rev=263&sc=0
4|C26, C58, C89, C121|C X7R 100nF 5% 16V 0603|0603|-55 to 125|CAP000022706|KEMET    C0603F104J4RAC|http://john.epiqdesign.com/projects/CIS_Datasheets/F3102_CE_Kemet.pdf?rev=92&sc=0
4|C30, C93, C125, C257|C X7R 220nF 10% 25V 0603|0603|-55 to 125|CAP000022968|KEMET    C0603F224K3RAC|http://john.epiqdesign.com/projects/CIS_Datasheets/F3102_CE_Kemet.pdf?rev=92&sc=0
4|L3, L7, L10, L14||||||
4|R3, R16, R19, R24|R SMD 100R 5% 1/10W 0603|0603|-55 to 155|RES000006398|YAGEO    RC0603JR-07100R|http://john.epiqdesign.com/projects/CIS_Datasheets/PYu-RC0603_51_RoHS_L_4_YAGEO.pdf?rev=138&sc=0
4|U13, U17, U20, U24||||||
3|C14, C16, C231|C X5R 22uF 20% 6.3V 0805|0805|-55 to 85|CAP000043686|KEMET    C0805C226M9PAC|http://john.epiqdesign.com/projects/CIS_Datasheets/F3102_CE_Kemet.pdf?rev=92&sc=0
2|C10, C11|C C0G 18pF 5% 50V 0603|0603|-55 to 125|CAP000031922|KEMET    C0603C180J5GAC|http://john.epiqdesign.com/projects/CIS_Datasheets/F3102_CE_Kemet.pdf?rev=92&sc=0
2|C227, C233|C X7R 470nF 5% 16V 0603|0603|-55 to 125|CAP000028169|KEMET    C0603C474J4RAC|http://john.epiqdesign.com/projects/CIS_Datasheets/F3102_CE_Kemet.pdf?rev=92&sc=0
2|FID1, FID2|FIDUCIAL 100x200|ISHIDDEN=T||FID000000001|ISHIDDEN=T|ISHIDDEN=T
1|C3|C X7R 1nF 5% 25V 0603|0603|-55 to 125|CAP000024113|KEMET    C0603C102J3RAC|http://john.epiqdesign.com/projects/CIS_Datasheets/F3102_CE_Kemet.pdf?rev=92&sc=0
