"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"C1","SMD_0603_CAPC1608X95N","5124.016mil","3714.567mil","5124.016mil","3714.567mil","5124.016mil","3746.063mil","T","270.00","1nF"
"C10","SMD_0603_CAPC1608X95N","4887.795mil","4509.842mil","4887.795mil","4509.842mil","4856.299mil","4509.842mil","T","0.00","18pF"
"C100","SMD_1210_CAPC3225X279N","1287.402mil","2141.732mil","1287.402mil","2141.732mil","1287.402mil","2200.787mil","T","270.00","220uF"
"C101","SMD_1210_CAPC3225X270N","3346.457mil","759.842mil","3346.457mil","759.842mil","3346.457mil","700.787mil","T","90.00","100uF"
"C102","SMD_1210_CAPC3225X270N","3570.866mil","598.425mil","3570.866mil","598.425mil","3511.811mil","598.425mil","T","0.00","100uF"
"C103","SMD_1210_CAPC3225X279N","3559.055mil","2141.732mil","3559.055mil","2141.732mil","3559.055mil","2200.787mil","T","270.00","220uF"
"C104","SMD_1210_CAPC3225X279N","3299.213mil","2141.732mil","3299.213mil","2141.732mil","3299.213mil","2200.787mil","T","270.00","220uF"
"C105","SMD_1210_CAPC3225X279N","3429.134mil","2141.732mil","3429.134mil","2141.732mil","3429.134mil","2200.787mil","T","270.00","220uF"
"C106","SMD_1210_CAPC3225X270N","3118.11mil","8078.74mil","3118.11mil","8078.74mil","3118.11mil","8137.795mil","T","270.00","100uF"
"C107","SMD_1210_CAPC3225X270N","2893.701mil","8240.157mil","2893.701mil","8240.157mil","2952.756mil","8240.157mil","T","180.00","100uF"
"C108","SMD_1210_CAPC3225X279N","3165.354mil","6696.85mil","3165.354mil","6696.85mil","3165.354mil","6637.795mil","T","90.00","220uF"
"C109","SMD_1210_CAPC3225X279N","3035.433mil","6696.85mil","3035.433mil","6696.85mil","3035.433mil","6637.795mil","T","90.00","220uF"
"C11","SMD_0603_CAPC1608X95N","4763.779mil","4509.842mil","4763.779mil","4509.842mil","4795.276mil","4509.842mil","T","180.00","18pF"
"C110","SMD_1210_CAPC3225X279N","2905.512mil","6696.85mil","2905.512mil","6696.85mil","2905.512mil","6637.795mil","T","90.00","220uF"
"C111","SMD_1210_CAPC3225X270N","976.378mil","8078.74mil","976.378mil","8078.74mil","976.378mil","8137.795mil","T","270.00","100uF"
"C112","SMD_1210_CAPC3225X270N","751.968mil","8240.157mil","751.968mil","8240.157mil","811.024mil","8240.157mil","T","180.00","100uF"
"C113","SMD_1210_CAPC3225X279N","1019.685mil","6696.85mil","1019.685mil","6696.85mil","1019.685mil","6637.795mil","T","90.00","220uF"
"C114","SMD_1210_CAPC3225X279N","759.842mil","6696.85mil","759.842mil","6696.85mil","759.842mil","6637.795mil","T","90.00","220uF"
"C115","SMD_1210_CAPC3225X279N","889.764mil","6696.85mil","889.764mil","6696.85mil","889.764mil","6637.795mil","T","90.00","220uF"
"C116","SMD_0603_CAPC1608X95N","1661.417mil","917.323mil","1661.417mil","917.323mil","1661.417mil","885.827mil","T","90.00","10uF"
"C117","SMD_0603_CAPC1608X95N","3803.15mil","917.323mil","3803.15mil","917.323mil","3803.15mil","885.827mil","T","90.00","10uF"
"C118","SMD_0603_CAPC1608X95N","2661.417mil","7921.26mil","2661.417mil","7921.26mil","2661.417mil","7952.756mil","T","270.00","10uF"
"C119","SMD_0603_CAPC1608X95N","519.685mil","7921.26mil","519.685mil","7921.26mil","519.685mil","7952.756mil","T","270.00","10uF"
"C12","SMD_0603_CAPC1608X95N","4582.874mil","6244.095mil","4582.874mil","6244.095mil","4582.874mil","6212.598mil","T","90.00","10uF"
"C120","SMD_0402_CAPC1005X55N","1649.606mil","1015.748mil","1649.606mil","1015.748mil","1649.606mil","998.032mil","T","90.00","100nF"
"C121","SMD_0402_CAPC1005X55N","3791.339mil","1015.748mil","3791.339mil","1015.748mil","3791.339mil","998.032mil","T","90.00","100nF"
"C122","SMD_0402_CAPC1005X55N","2673.228mil","7822.835mil","2673.228mil","7822.835mil","2673.228mil","7840.551mil","T","270.00","100nF"
"C123","SMD_0402_CAPC1005X55N","531.496mil","7822.835mil","531.496mil","7822.835mil","531.496mil","7840.551mil","T","270.00","100nF"
"C124","SMD_0603_CAPC1608X95N","1874.016mil","885.827mil","1874.016mil","885.827mil","1842.52mil","885.827mil","T","0.00","220nF"
"C125","SMD_0603_CAPC1608X95N","4015.748mil","885.827mil","4015.748mil","885.827mil","3984.252mil","885.827mil","T","0.00","220nF"
"C126","SMD_0603_CAPC1608X95N","2448.819mil","7952.756mil","2448.819mil","7952.756mil","2480.315mil","7952.756mil","T","180.00","220nF"
"C127","SMD_0603_CAPC1608X95N","307.087mil","7952.756mil","307.087mil","7952.756mil","338.583mil","7952.756mil","T","180.00","220nF"
"C128","SMD_1210_CAPC3225X270N","1740.158mil","759.842mil","1740.158mil","759.842mil","1740.158mil","700.787mil","T","90.00","100uF"
"C129","SMD_1210_CAPC3225X270N","1964.567mil","598.425mil","1964.567mil","598.425mil","1905.512mil","598.425mil","T","0.00","100uF"
"C13","SMD_1210_CAPC3225X279N","5066.929mil","5645.669mil","5066.929mil","5645.669mil","5007.874mil","5645.669mil","T","0.00","220uF"
"C130","SMD_1210_CAPC3225X279N","1952.756mil","2141.732mil","1952.756mil","2141.732mil","1952.756mil","2200.787mil","T","270.00","220uF"
"C131","SMD_1210_CAPC3225X279N","1692.913mil","2141.732mil","1692.913mil","2141.732mil","1692.913mil","2200.787mil","T","270.00","220uF"
"C132","SMD_1210_CAPC3225X279N","1822.835mil","2141.732mil","1822.835mil","2141.732mil","1822.835mil","2200.787mil","T","270.00","220uF"
"C133","SMD_1210_CAPC3225X270N","3881.89mil","759.842mil","3881.89mil","759.842mil","3881.89mil","700.787mil","T","90.00","100uF"
"C134","SMD_1210_CAPC3225X270N","4106.299mil","598.425mil","4106.299mil","598.425mil","4047.244mil","598.425mil","T","0.00","100uF"
"C135","SMD_1210_CAPC3225X279N","4094.488mil","2141.732mil","4094.488mil","2141.732mil","4094.488mil","2200.787mil","T","270.00","220uF"
"C136","SMD_1210_CAPC3225X279N","3834.646mil","2141.732mil","3834.646mil","2141.732mil","3834.646mil","2200.787mil","T","270.00","220uF"
"C137","SMD_1210_CAPC3225X279N","3964.567mil","2141.732mil","3964.567mil","2141.732mil","3964.567mil","2200.787mil","T","270.00","220uF"
"C138","SMD_1210_CAPC3225X270N","2582.677mil","8078.74mil","2582.677mil","8078.74mil","2582.677mil","8137.795mil","T","270.00","100uF"
"C139","SMD_1210_CAPC3225X270N","2358.268mil","8240.157mil","2358.268mil","8240.157mil","2417.323mil","8240.157mil","T","180.00","100uF"
"C14","SMD_0805_CAPC2012X145N","5090.551mil","5759.842mil","5090.551mil","5759.842mil","5125.984mil","5759.842mil","T","180.00","22uF"
"C140","SMD_1210_CAPC3225X279N","2629.921mil","6696.85mil","2629.921mil","6696.85mil","2629.921mil","6637.795mil","T","90.00","220uF"
"C141","SMD_1210_CAPC3225X279N","2500mil","6696.85mil","2500mil","6696.85mil","2500mil","6637.795mil","T","90.00","220uF"
"C142","SMD_1210_CAPC3225X279N","2370.079mil","6696.85mil","2370.079mil","6696.85mil","2370.079mil","6637.795mil","T","90.00","220uF"
"C143","SMD_1210_CAPC3225X270N","440.945mil","8078.74mil","440.945mil","8078.74mil","440.945mil","8137.795mil","T","270.00","100uF"
"C144","SMD_1210_CAPC3225X270N","216.535mil","8240.157mil","216.535mil","8240.157mil","275.591mil","8240.157mil","T","180.00","100uF"
"C145","SMD_1210_CAPC3225X279N","488.189mil","6696.85mil","488.189mil","6696.85mil","488.189mil","6637.795mil","T","90.00","220uF"
